admin3Name_en,admin3Name_alias,admin3Pcode,admin2Name_en,admin2Name_alias,admin2Pcode,admin1Name_en,admin1Name_alias,admin1Pcode,admin0Name_en,admin0Name_alias,admin0Pcode
SOMALOMO,SOMALOMO,ES0214,HAUT-NYONG,HAUT-NYONG,ES02,EST,EST,ES,Cameroon,Cameroon,CMR
BATOURI,BATOURI,ES0301,KADEY,KADEY,ES03,EST,EST,ES,Cameroon,Cameroon,CMR
BOMBE (KENZOU),BOMBE (KENZOU),ES0302,KADEY,KADEY,ES03,EST,EST,ES,Cameroon,Cameroon,CMR
KETTE,KETTE,ES0303,KADEY,KADEY,ES03,EST,EST,ES,Cameroon,Cameroon,CMR
MBANG,MBANG,ES0304,KADEY,KADEY,ES03,EST,EST,ES,Cameroon,Cameroon,CMR
MBOTORO (OULI),MBOTORO (OULI),ES0305,KADEY,KADEY,ES03,EST,EST,ES,Cameroon,Cameroon,CMR
NDEM-NAM (NGUELEBOCK),NDEM-NAM (NGUELEBOCK),ES0306,KADEY,KADEY,ES03,EST,EST,ES,Cameroon,Cameroon,CMR
NDELELE,NDELELE,ES0307,KADEY,KADEY,ES03,EST,EST,ES,Cameroon,Cameroon,CMR
BELABO,BELABO,ES0401,LOM ET DJEREM,LOM ET DJEREM,ES04,EST,EST,ES,Cameroon,Cameroon,CMR
BERTOUA,BERTOUA,ES0402,LOM ET DJEREM,LOM ET DJEREM,ES04,EST,EST,ES,Cameroon,Cameroon,CMR
BERTOUA II,BERTOUA II,ES0403,LOM ET DJEREM,LOM ET DJEREM,ES04,EST,EST,ES,Cameroon,Cameroon,CMR
BETARE-OYA,BETARE-OYA,ES0404,LOM ET DJEREM,LOM ET DJEREM,ES04,EST,EST,ES,Cameroon,Cameroon,CMR
DIANG,DIANG,ES0405,LOM ET DJEREM,LOM ET DJEREM,ES04,EST,EST,ES,Cameroon,Cameroon,CMR
GAROUA-BOULAI,GAROUA-BOULAI,ES0406,LOM ET DJEREM,LOM ET DJEREM,ES04,EST,EST,ES,Cameroon,Cameroon,CMR
MANDJOU,MANDJOU,ES0407,LOM ET DJEREM,LOM ET DJEREM,ES04,EST,EST,ES,Cameroon,Cameroon,CMR
NGOURA,NGOURA,ES0408,LOM ET DJEREM,LOM ET DJEREM,ES04,EST,EST,ES,Cameroon,Cameroon,CMR
BOGO,BOGO,EN0101,DIAMARE,DIAMARE,EN01,EXTREME-NORD,EXTREME-NORD,EN,Cameroon,Cameroon,CMR
DARGALA,DARGALA,EN0102,DIAMARE,DIAMARE,EN01,EXTREME-NORD,EXTREME-NORD,EN,Cameroon,Cameroon,CMR
GAZAWA,GAZAWA,EN0103,DIAMARE,DIAMARE,EN01,EXTREME-NORD,EXTREME-NORD,EN,Cameroon,Cameroon,CMR
MAROUA I,MAROUA I,EN0104,DIAMARE,DIAMARE,EN01,EXTREME-NORD,EXTREME-NORD,EN,Cameroon,Cameroon,CMR
MAROUA II,MAROUA II,EN0105,DIAMARE,DIAMARE,EN01,EXTREME-NORD,EXTREME-NORD,EN,Cameroon,Cameroon,CMR
MAROUA III,MAROUA III,EN0106,DIAMARE,DIAMARE,EN01,EXTREME-NORD,EXTREME-NORD,EN,Cameroon,Cameroon,CMR
MERI,MERI,EN0107,DIAMARE,DIAMARE,EN01,EXTREME-NORD,EXTREME-NORD,EN,Cameroon,Cameroon,CMR
NDOUKOULA,NDOUKOULA,EN0108,DIAMARE,DIAMARE,EN01,EXTREME-NORD,EXTREME-NORD,EN,Cameroon,Cameroon,CMR
PETTE,PETTE,EN0109,DIAMARE,DIAMARE,EN01,EXTREME-NORD,EXTREME-NORD,EN,Cameroon,Cameroon,CMR
BLANGOUA,BLANGOUA,EN0201,LOGONE ET CHARI,LOGONE ET CHARI,EN02,EXTREME-NORD,EXTREME-NORD,EN,Cameroon,Cameroon,CMR
DARAK,DARAK,EN0202,LOGONE ET CHARI,LOGONE ET CHARI,EN02,EXTREME-NORD,EXTREME-NORD,EN,Cameroon,Cameroon,CMR
FOTOKOL,FOTOKOL,EN0203,LOGONE ET CHARI,LOGONE ET CHARI,EN02,EXTREME-NORD,EXTREME-NORD,EN,Cameroon,Cameroon,CMR
GOULFEY,GOULFEY,EN0204,LOGONE ET CHARI,LOGONE ET CHARI,EN02,EXTREME-NORD,EXTREME-NORD,EN,Cameroon,Cameroon,CMR
HILE-ALIFA,HILE-ALIFA,EN0205,LOGONE ET CHARI,LOGONE ET CHARI,EN02,EXTREME-NORD,EXTREME-NORD,EN,Cameroon,Cameroon,CMR
KOUSSERI,KOUSSERI,EN0206,LOGONE ET CHARI,LOGONE ET CHARI,EN02,EXTREME-NORD,EXTREME-NORD,EN,Cameroon,Cameroon,CMR
LOGONE BIRNI,LOGONE BIRNI,EN0207,LOGONE ET CHARI,LOGONE ET CHARI,EN02,EXTREME-NORD,EXTREME-NORD,EN,Cameroon,Cameroon,CMR
MAKARI,MAKARI,EN0208,LOGONE ET CHARI,LOGONE ET CHARI,EN02,EXTREME-NORD,EXTREME-NORD,EN,Cameroon,Cameroon,CMR
WAZA,WAZA,EN0209,LOGONE ET CHARI,LOGONE ET CHARI,EN02,EXTREME-NORD,EXTREME-NORD,EN,Cameroon,Cameroon,CMR
ZINA,ZINA,EN0210,LOGONE ET CHARI,LOGONE ET CHARI,EN02,EXTREME-NORD,EXTREME-NORD,EN,Cameroon,Cameroon,CMR
DATCHEKA DATCHEKA GOBO,DATCHEKA DATCHEKA GOBO,EN0301,MAYO DANAY,MAYO DANAY,EN03,EXTREME-NORD,EXTREME-NORD,EN,Cameroon,Cameroon,CMR
GOBO,GOBO,EN0302,MAYO DANAY,MAYO DANAY,EN03,EXTREME-NORD,EXTREME-NORD,EN,Cameroon,Cameroon,CMR
GUERE,GUERE,EN0303,MAYO DANAY,MAYO DANAY,EN03,EXTREME-NORD,EXTREME-NORD,EN,Cameroon,Cameroon,CMR
KAI-KAI,KAI-KAI,EN0304,MAYO DANAY,MAYO DANAY,EN03,EXTREME-NORD,EXTREME-NORD,EN,Cameroon,Cameroon,CMR
KALFOU,KALFOU,EN0305,MAYO DANAY,MAYO DANAY,EN03,EXTREME-NORD,EXTREME-NORD,EN,Cameroon,Cameroon,CMR
KARHAY,KARHAY,EN0306,MAYO DANAY,MAYO DANAY,EN03,EXTREME-NORD,EXTREME-NORD,EN,Cameroon,Cameroon,CMR
MAGA,MAGA,EN0307,MAYO DANAY,MAYO DANAY,EN03,EXTREME-NORD,EXTREME-NORD,EN,Cameroon,Cameroon,CMR
TCHATIBALI,TCHATIBALI,EN0308,MAYO DANAY,MAYO DANAY,EN03,EXTREME-NORD,EXTREME-NORD,EN,Cameroon,Cameroon,CMR
VELE (GUEME),VELE (GUEME),EN0309,MAYO DANAY,MAYO DANAY,EN03,EXTREME-NORD,EXTREME-NORD,EN,Cameroon,Cameroon,CMR
WINA,WINA,EN0310,MAYO DANAY,MAYO DANAY,EN03,EXTREME-NORD,EXTREME-NORD,EN,Cameroon,Cameroon,CMR
YAGOUA,YAGOUA,EN0311,MAYO DANAY,MAYO DANAY,EN03,EXTREME-NORD,EXTREME-NORD,EN,Cameroon,Cameroon,CMR
GUIDIGUIS,GUIDIGUIS,EN0401,MAYO KANI,MAYO KANI,EN04,EXTREME-NORD,EXTREME-NORD,EN,Cameroon,Cameroon,CMR
KAELE,KAELE,EN0402,MAYO KANI,MAYO KANI,EN04,EXTREME-NORD,EXTREME-NORD,EN,Cameroon,Cameroon,CMR
MINDIF,MINDIF,EN0403,MAYO KANI,MAYO KANI,EN04,EXTREME-NORD,EXTREME-NORD,EN,Cameroon,Cameroon,CMR
MOULVOUDAYE,MOULVOUDAYE,EN0404,MAYO KANI,MAYO KANI,EN04,EXTREME-NORD,EXTREME-NORD,EN,Cameroon,Cameroon,CMR
MOUTOURWA,MOUTOURWA,EN0405,MAYO KANI,MAYO KANI,EN04,EXTREME-NORD,EXTREME-NORD,EN,Cameroon,Cameroon,CMR
PORHI (TOULOUM),PORHI (TOULOUM),EN0406,MAYO KANI,MAYO KANI,EN04,EXTREME-NORD,EXTREME-NORD,EN,Cameroon,Cameroon,CMR
TAIBONG (DZIGUILAO),TAIBONG (DZIGUILAO),EN0407,MAYO KANI,MAYO KANI,EN04,EXTREME-NORD,EXTREME-NORD,EN,Cameroon,Cameroon,CMR
KOLOFATA,KOLOFATA,EN0501,MAYO SAVA,MAYO SAVA,EN05,EXTREME-NORD,EXTREME-NORD,EN,Cameroon,Cameroon,CMR
MORA,MORA,EN0502,MAYO SAVA,MAYO SAVA,EN05,EXTREME-NORD,EXTREME-NORD,EN,Cameroon,Cameroon,CMR
TOKOMBERE,TOKOMBERE,EN0503,MAYO SAVA,MAYO SAVA,EN05,EXTREME-NORD,EXTREME-NORD,EN,Cameroon,Cameroon,CMR
BOURRHA,BOURRHA,EN0601,MAYO TSANAGA,MAYO TSANAGA,EN06,EXTREME-NORD,EXTREME-NORD,EN,Cameroon,Cameroon,CMR
HINA,HINA,EN0602,MAYO TSANAGA,MAYO TSANAGA,EN06,EXTREME-NORD,EXTREME-NORD,EN,Cameroon,Cameroon,CMR
KOZA,KOZA,EN0603,MAYO TSANAGA,MAYO TSANAGA,EN06,EXTREME-NORD,EXTREME-NORD,EN,Cameroon,Cameroon,CMR
MAYO-MOSKOTA,MAYO-MOSKOTA,EN0604,MAYO TSANAGA,MAYO TSANAGA,EN06,EXTREME-NORD,EXTREME-NORD,EN,Cameroon,Cameroon,CMR
MOGODE,MOGODE,EN0605,MAYO TSANAGA,MAYO TSANAGA,EN06,EXTREME-NORD,EXTREME-NORD,EN,Cameroon,Cameroon,CMR
MOKOLO,MOKOLO,EN0606,MAYO TSANAGA,MAYO TSANAGA,EN06,EXTREME-NORD,EXTREME-NORD,EN,Cameroon,Cameroon,CMR
SOULEDE ROUA,SOULEDE ROUA,EN0607,MAYO TSANAGA,MAYO TSANAGA,EN06,EXTREME-NORD,EXTREME-NORD,EN,Cameroon,Cameroon,CMR
ABO/FIKO (BONALEA),ABO/FIKO (BONALEA),LT0101,MOUNGO,MOUNGO,LT01,LITTORAL,LITTORAL,LT,Cameroon,Cameroon,CMR
BARE-BAKEM,BARE-BAKEM,LT0102,MOUNGO,MOUNGO,LT01,LITTORAL,LITTORAL,LT,Cameroon,Cameroon,CMR
DIBOMBARI,DIBOMBARI,LT0103,MOUNGO,MOUNGO,LT01,LITTORAL,LITTORAL,LT,Cameroon,Cameroon,CMR
LOUM,LOUM,LT0104,MOUNGO,MOUNGO,LT01,LITTORAL,LITTORAL,LT,Cameroon,Cameroon,CMR
MANJO,MANJO,LT0105,MOUNGO,MOUNGO,LT01,LITTORAL,LITTORAL,LT,Cameroon,Cameroon,CMR
MBANGA,MBANGA,LT0106,MOUNGO,MOUNGO,LT01,LITTORAL,LITTORAL,LT,Cameroon,Cameroon,CMR
MELONG,MELONG,LT0107,MOUNGO,MOUNGO,LT01,LITTORAL,LITTORAL,LT,Cameroon,Cameroon,CMR
